"","APN","AD","ADM","FOM","nK"
"2",0,26.2329489877942,0,1.83723970511585,2
"3",0.0288200583451202,24.4307994020412,0.932115838126148,1.69749935196652,3
"4",0.0852942197918772,24.109663666757,1.84822811913774,1.66044848286745,4
"5",0.164743279719828,23.593196398419,4.81780254251888,1.61976332620036,5
"6",0.129975335304576,22.4674551578864,4.43634198527535,1.57865789093296,6
"7",0.165604239742772,21.8310280731232,4.27900058284189,1.54624313126863,7
"8",0.122618806045145,20.4846415351042,3.61241874746627,1.46558909961275,8
"9",0.13561548198825,20.1499995069414,3.57660525528154,1.45497751467537,9
"10",0.138145968614719,19.7117435089946,3.78852170605281,1.43732022854957,10
"11",0.130858007265406,18.9207322221627,3.0279024278995,1.39910400414576,11
"12",0.136179592744836,18.3159758002346,2.98704090820287,1.36834859006139,12
